id,old_material,new_material
oris-sectional--taupe,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--ivory,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--beige,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--light-gray,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--charcoal,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--camel,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--warm-sand,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--stone,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--olive-green,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--sage-green,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--terracotta,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--rust,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-sectional--inky-blue,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--taupe,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--ivory,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--beige,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--light-gray,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--charcoal,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--camel,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--warm-sand,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--stone,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--olive-green,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--sage-green,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--terracotta,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--rust,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-3-seater--inky-blue,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--taupe,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--ivory,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--beige,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--light-gray,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--charcoal,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--camel,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--warm-sand,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--stone,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--olive-green,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--sage-green,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--terracotta,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--rust,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
oris-loveseat--inky-blue,weather-resistant performance weave fabric,Weather-Resistant Performance Weave
